sample_id,path,total_reads,filename,title,study,bioproject_accession,accession,biosample_accession,library_id,data_type,filetype,cell_type,generator_facility,production,iso_filename,platform_unit_1,platform_unit_2,barcode,basecaller,basecaller_version,platform,instrument_model,iso_library_id,ccs_algorithm,pbtrim_version,jasmine_version,lima_version,refine_version,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,design_description,polymerase_version,seq_plate_chemistry_version,pool,ntsm_score,similarity,check-flnc reads,generator_contact
HG00133,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_Kinnex/HG00133.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam,16117026,HG00133.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00133.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-4.bam,m84081_240728_071012_s1,m84081_240728_051033_s2,bc04,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_19,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool19,0.163925,1,TRUE,iviolich@ucsc.edu
HG00140,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_Kinnex/HG00140.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam,21434086,HG00140.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00140.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-2.bam,m84081_240726_211757_s1,m84081_240726_191837_s2,bc06,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_14,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool14,0.169169,1,TRUE,iviolich@ucsc.edu
HG00146,s3://human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_Kinnex/HG00146.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam,18071802,HG00146.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00146.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-8.bam,m84081_240728_071012_s1,m84081_240728_051033_s2,bc12,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_19,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool19,0.173507,1,TRUE,iviolich@ucsc.edu
HG00150,s3://human-pangenomics/working/HPRC/HG00150/raw_data/PacBio_Kinnex/HG00150.lymph.m84091_241028_180302_s2-m84091_241028_160334_s1.flnc.bam,15844344,HG00150.lymph.m84091_241028_180302_s2-m84091_241028_160334_s1.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00150.lymph.m84091_241028_180302_s2-m84091_241028_160334_s1,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-7.bam,m84091_241028_180302_s2,m84091_241028_160334_s1,bc07,,5,PACBIO,REVIO,HPRC_Kinnex_Pool20,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool020,0.213254,1,TRUE,iviolich@ucsc.edu
HG00232,s3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_Kinnex/HG00232.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam,20080345,HG00232.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00232.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-1.bam,m84081_240728_071012_s1,m84081_240728_051033_s2,bc01,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_19,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool19,0.176092,1,TRUE,iviolich@ucsc.edu
HG00234,s3://human-pangenomics/working/HPRC/HG00234/raw_data/PacBio_Kinnex/HG00234.lymph.m84203_240819_194908_s1-m84203_240819_214831_s2.flnc.bam,13509016,HG00234.lymph.m84203_240819_194908_s1-m84203_240819_214831_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00234.lymph.m84203_240819_194908_s1-m84203_240819_214831_s2,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-8.bam,m84203_240819_194908_s1,m84203_240819_214831_s2,bc08,,5,PACBIO,REVIO,HPRC_Kinnex_Pool6,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool006,0.209981,1,TRUE,iviolich@ucsc.edu
HG00235,s3://human-pangenomics/working/HPRC/HG00235/raw_data/PacBio_Kinnex/HG00235.lymph.m84203_241023_010712_s4-m84203_241023_030638_s1.flnc.bam,14280975,HG00235.lymph.m84203_241023_010712_s4-m84203_241023_030638_s1.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00235.lymph.m84203_241023_010712_s4-m84203_241023_030638_s1,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-1.bam,m84203_241023_010712_s4,m84203_241023_030638_s1,bc01,,5,PACBIO,REVIO,HPRC_Kinnex_Pool21,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool021,0.189783,1,TRUE,iviolich@ucsc.edu
HG00236,s3://human-pangenomics/working/HPRC/HG00236/raw_data/PacBio_Kinnex/HG00236.lymph.m84203_240818_033654_s1-m84203_240818_053625_s2.flnc.bam,12874869,HG00236.lymph.m84203_240818_033654_s1-m84203_240818_053625_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00236.lymph.m84203_240818_033654_s1-m84203_240818_053625_s2,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-6.bam,m84203_240818_033654_s1,m84203_240818_053625_s2,bc06,,5,PACBIO,REVIO,HPRC_Kinnex_Pool4,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool004,0.195159,1,TRUE,iviolich@ucsc.edu
HG00243,s3://human-pangenomics/working/HPRC/HG00243/raw_data/PacBio_Kinnex/HG00243.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4.flnc.bam,14864642,HG00243.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00243.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-6.bam,m84203_240912_223637_s3,m84203_240913_003604_s4,bc06,,5,PACBIO,REVIO,HPRC_Kinnex_Pool12,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool012,0.213531,1,TRUE,iviolich@ucsc.edu
HG00245,s3://human-pangenomics/working/HPRC/HG00245/raw_data/PacBio_Kinnex/HG00245.lymph.m84203_240816_234426_s1-m84203_240817_014338_s2.flnc.bam,11746514,HG00245.lymph.m84203_240816_234426_s1-m84203_240817_014338_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00245.lymph.m84203_240816_234426_s1-m84203_240817_014338_s2,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-6.bam,m84203_240816_234426_s1,m84203_240817_014338_s2,bc06,,5,PACBIO,REVIO,HPRC_Kinnex_Pool2,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool002,0.184992,1,TRUE,iviolich@ucsc.edu
HG00253,s3://human-pangenomics/working/HPRC/HG00253/raw_data/PacBio_Kinnex/HG00253.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1.flnc.bam,12525697,HG00253.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00253.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-6.bam,m84203_241028_200231_s4,m84203_241028_220156_s1,bc06,,5,PACBIO,REVIO,HPRC_Kinnex_Pool16,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool016,0.198226,1,TRUE,iviolich@ucsc.edu
HG00254,s3://human-pangenomics/working/HPRC/HG00254/raw_data/PacBio_Kinnex/HG00254.lymph.m84203_240816_214515_s4-m84203_240816_194554_s3.flnc.bam,12211220,HG00254.lymph.m84203_240816_214515_s4-m84203_240816_194554_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00254.lymph.m84203_240816_214515_s4-m84203_240816_194554_s3,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-3.bam,m84203_240816_214515_s4,m84203_240816_194554_s3,bc03,,5,PACBIO,REVIO,HPRC_Kinnex_Pool1,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool001,0.205284,1,TRUE,iviolich@ucsc.edu
HG00258,s3://human-pangenomics/working/HPRC/HG00258/raw_data/PacBio_Kinnex/HG00258.lymph.m84203_241022_230750_s3-m84203_241022_210832_s2.flnc.bam,14598633,HG00258.lymph.m84203_241022_230750_s3-m84203_241022_210832_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00258.lymph.m84203_241022_230750_s3-m84203_241022_210832_s2,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-5.bam,m84203_241022_230750_s3,m84203_241022_210832_s2,bc05,,5,PACBIO,REVIO,HPRC_Kinnex_Pool19,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool019,0.185741,1,TRUE,iviolich@ucsc.edu
HG00272,s3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_Kinnex/HG00272.lymph.m84203_240914_042802_s4-m84203_240914_022843_s3.flnc.bam,14296173,HG00272.lymph.m84203_240914_042802_s4-m84203_240914_022843_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00272.lymph.m84203_240914_042802_s4-m84203_240914_022843_s3,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-3.bam,m84203_240914_042802_s4,m84203_240914_022843_s3,bc03,,5,PACBIO,REVIO,HPRC_Kinnex_Pool14,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool014,0.178572,1,TRUE,iviolich@ucsc.edu
HG00280,s3://human-pangenomics/working/HPRC/HG00280/raw_data/PacBio_Kinnex/HG00280.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam,17784599,HG00280.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00280.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-8.bam,m84081_240722_230051_s3,m84081_240723_010018_s4,bc08,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_15,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool15,0.162958,1,TRUE,iviolich@ucsc.edu
HG00290,s3://human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_Kinnex/HG00290.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3.flnc.bam,18955455,HG00290.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00290.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-1.bam,m84081_240728_110915_s4,m84081_240728_090940_s3,bc05,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_20,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool20,0.176903,1,TRUE,iviolich@ucsc.edu
HG00320,s3://human-pangenomics/working/HPRC/HG00320/raw_data/PacBio_Kinnex/HG00320.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam,15670854,HG00320.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00320.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-6.bam,m84081_240728_071012_s1,m84081_240728_051033_s2,bc10,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_19,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool19,0.171093,1,TRUE,iviolich@ucsc.edu
HG00321,s3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_Kinnex/HG00321.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam,20295363,HG00321.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00321.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-2.bam,m84081_240728_071012_s1,m84081_240728_051033_s2,bc02,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_19,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool19,0.172274,1,TRUE,iviolich@ucsc.edu
HG00323,s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_Kinnex/HG00323.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam,12099649,HG00323.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00323.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-3.bam,m84081_240726_211757_s1,m84081_240726_191837_s2,bc07,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_14,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool14,0.166905,1,TRUE,iviolich@ucsc.edu
