sample_id,release,filetype,filename,path,data_type,production,coverage,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,ccs_algorithm,basecaller,basecaller_version,study,accession,bioproject_accession,biosample_accession,design_description,notes,generator_contact,generator_facility,library_id,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,total_reads,total_bp,total_gbp,mean,min,max,n25,n50,n75,quartile_25,quartile_50,quartile_75,ntsm_score,mm_tag,primrose_filename,mm_review,mm_remove,lima_version,lima_float_version
HG00116,3,bam,m84046_240614_204841_s3.hifi_reads.bc2001.bam,s3://human-pangenomics/working/HPRC/HG00116/raw_data/PacBio_HiFi/m84046_240614_204841_s3.hifi_reads.bc2001.bam,unaligned reads,UW_HPRC_HiFi_Y5,16.07,,,,8.0.1,revio_deepconsensus,8.0.1,SRP305758,,PRJNA701308,,HiFi sequencing of 19kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,3107715,53015437769,53.02,17059,148,55763,15483,17067,19153,15220,16677,18669,0.570838,TRUE,,,,,
HG00116,3,bam,m84046_240610_201454_s3.hifi_reads.bc2001.bam,s3://human-pangenomics/working/HPRC/HG00116/raw_data/PacBio_HiFi/m84046_240610_201454_s3.hifi_reads.bc2001.bam,unaligned reads,UW_HPRC_HiFi_Y5,15.96,,,,8.0.1,revio_deepconsensus,8.0.1,SRP305758,,PRJNA701308,,HiFi sequencing of 19kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,3081501,52658773853,52.66,17088,77,63508,15513,17103,19184,15248,16711,18703,0.551924,TRUE,,,,,
HG00117,3,bam,m84081_231110_195735_s1.hifi_reads.bc2071.bam,s3://human-pangenomics/working/HPRC/HG00117/raw_data/PacBio_HiFi/m84081_231110_195735_s1.hifi_reads.bc2071.bam,unaligned reads,WUSTL_HPRC_HiFi_Year4,28.08,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29396903,PRJNA701308,SAMN41021697,sequencing of 20 kb fractionated,,tgraves@wustl.edu,Washington University,HG00117_lib1_m84081_231110_195735_s1_m84081_231110_195735_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,Revio P1,Revio C1,4753908,92655924917,92.66,19490,141,58989,17714,19547,22192,17367,19007,21433,0.501588,TRUE,,,,,
HG00117,3,bam,m84081_231112_020730_s1.hifi_reads.bc2071.bam,s3://human-pangenomics/working/HPRC/HG00117/raw_data/PacBio_HiFi/m84081_231112_020730_s1.hifi_reads.bc2071.bam,unaligned reads,WUSTL_HPRC_HiFi_Year4,31.55,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29396892,PRJNA701308,SAMN41021697,sequencing of 20 kb fractionated,,tgraves@wustl.edu,Washington University,HG00117_lib1_m84081_231112_020730_s1_m84081_231112_020730_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,Revio P1,Revio C1,5286393,104125394431,104.13,19696,95,60579,17795,19687,22372,17457,19143,21621,0.496398,TRUE,,,,,
HG00119,3,bam,m84081_231214_200130_s1.hifi_reads.bc2005.bam,s3://human-pangenomics/working/HPRC/HG00119/raw_data/PacBio_HiFi/m84081_231214_200130_s1.hifi_reads.bc2005.bam,unaligned reads,WUSTL_HPRC_HiFi_Y5,38.98,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,Washington University,tgraves@wustl.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 1,Sage PippinHT,PACBIO_SMRT,Revio,C1,P1,6183650,128622650285,128.62,20800,110,65516,18283,20914,24493,17700,20016,23286,0.083849,TRUE,,,,,
HG00119,3,bam,m84081_231214_220055_s2.hifi_reads.bc2005.bam,s3://human-pangenomics/working/HPRC/HG00119/raw_data/PacBio_HiFi/m84081_231214_220055_s2.hifi_reads.bc2005.bam,unaligned reads,WUSTL_HPRC_HiFi_Y5,36.45,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,Washington University,tgraves@wustl.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 1,Sage PippinHT,PACBIO_SMRT,Revio,C1,P1,5795942,120286030450,120.29,20753,67,70324,18256,20859,24408,17680,19975,23217,0.071639,TRUE,,,,,
HG00120,3,bam,m84081_240512_105012_s1.hifi_reads.bc2006.bam,s3://human-pangenomics/working/HPRC/HG00120/raw_data/PacBio_HiFi/m84081_240512_105012_s1.hifi_reads.bc2006.bam,unaligned reads,WUSTL_HPRC_HiFi_Y5,30.46,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,Washington University,tgraves@wustl.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 1,Sage PippinHT,PACBIO_SMRT,Revio,C1,P1,4835732,100511147364,100.51,20785,84,64820,18500,20879,24175,18004,20116,23145,0.479535,TRUE,,,,,
HG00120,3,bam,m84081_240511_005817_s1.hifi_reads.bc2006.bam,s3://human-pangenomics/working/HPRC/HG00120/raw_data/PacBio_HiFi/m84081_240511_005817_s1.hifi_reads.bc2006.bam,unaligned reads,WUSTL_HPRC_HiFi_Y5,38.73,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,Washington University,tgraves@wustl.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 1,Sage PippinHT,PACBIO_SMRT,Revio,C1,P1,6194475,127801729050,127.8,20631,110,66531,18407,20745,24009,17909,19990,22981,0.472672,TRUE,,,,,
HG00126,2,bam,m84046_230617_050400_s4.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2043.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,8.7,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483148,PRJNA701308,SAMN41021637,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00126.HFSS_m84046_230617_050400_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1265571,27014561078,27.01,21345,441,66961,19050,21192,24330,18650,20561,23358,0.578292,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00126,2,bam,m84046_230617_043254_s3.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2043.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,7.9,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483144,PRJNA701308,SAMN41021637,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00126.HFSS_m84046_230617_043254_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1147622,24387352695,24.39,21250,221,65475,19001,21095,24190,18611,20482,23230,0.569107,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00126,2,bam,m84046_230621_231827_s1.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2043.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,17.9,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483149,PRJNA701308,SAMN41021637,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00126.HFSS_m84046_230621_231827_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2592602,55422349206,55.42,21377,101,61779,19066,21223,24390,18665,20584,23411,0.550802,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00126,2,bam,m84046_230602_203207_s4.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2043.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,10.1,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483146,PRJNA701308,SAMN41021637,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00126.HFSS_m84046_230602_203207_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1429169,31211081209,31.21,21838,114,72198,19339,21716,25155,18891,20975,24050,0.54501,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00126,2,bam,m84046_230621_234848_s2.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2043.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483145,PRJNA701308,SAMN41021637,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00126.HFSS_m84046_230621_234848_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2781508,59614431287,59.61,21432,87,61977,19090,21277,24496,18681,20624,23493,0.497169,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00128,2,bam,m84046_230602_203207_s4.hifi_reads.bc2044.bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2044.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,10.7,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483093,PRJNA701308,SAMN41021641,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00128.HFSS_m84046_230602_203207_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1751436,33229202038,33.23,18972,146,56094,17354,18894,20960,17118,18544,20490,0.589215,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00128,2,bam,m84046_230617_043254_s3.hifi_reads.bc2044.bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2044.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,13.9,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483094,PRJNA701308,SAMN41021641,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00128.HFSS_m84046_230617_043254_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2301584,43116301374,43.12,18733,124,54809,17205,18656,20611,16984,18337,20173,0.551591,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00128,2,bam,m84046_230617_050400_s4.hifi_reads.bc2044.bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2044.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,15.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483092,PRJNA701308,SAMN41021641,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00128.HFSS_m84046_230617_050400_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2502838,46970020324,46.97,18766,67,55452,17223,18688,20659,17002,18364,20215,0.53878,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00128,2,bam,m84046_230630_233157_s3.bc2069--bc2069.bam,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230630_233157_s3.bc2069--bc2069.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,26.5,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483091,PRJNA701308,SAMN41021641,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00128.HFSS2_m84046_230630_233157_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,4759375,82225293457,82.23,17276,120,51374,15407,17139,19609,15138,16658,18930,0.538261,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00133,2,bam,m84046_230719_001055_s4.hifi_reads.bc2085.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2085.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,7.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483107,PRJNA701308,SAMN41021638,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00133.HFSS2_m84046_230719_001055_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1079223,23522900809,23.52,21796,96,67080,19292,21676,25074,18839,20947,24008,0.598542,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00133,2,bam,m84046_230602_203207_s4.hifi_reads.bc2045.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2045.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,10.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483106,PRJNA701308,SAMN41021638,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00133.HFSS_m84046_230602_203207_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1299153,31577829326,31.58,24306,355,72239,21625,24531,28292,20931,23631,27114,0.571598,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00133,2,bam,m84046_230621_231827_s1.hifi_reads.bc2045.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2045.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,14.3,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483110,PRJNA701308,SAMN41021638,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00133.HFSS_m84046_230621_231827_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1877396,44444296421,44.44,23673,129,66619,21149,23887,27366,20500,23070,26294,0.544246,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00133,2,bam,m84046_230617_050400_s4.hifi_reads.bc2045.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2045.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,9.7,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483108,PRJNA701308,SAMN41021638,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00133.HFSS_m84046_230617_050400_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1269426,30053356453,30.05,23674,496,71360,21132,23874,27395,20482,23047,26301,0.542581,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00133,2,bam,m84046_230617_043254_s3.hifi_reads.bc2045.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2045.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,8.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483109,PRJNA701308,SAMN41021638,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00133.HFSS_m84046_230617_043254_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1129803,26568174953,26.57,23515,204,63763,21024,23704,27160,20391,22908,26092,0.539217,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00133,2,bam,m84046_230621_234848_s2.hifi_reads.bc2045.bam,s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2045.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,15.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483105,PRJNA701308,SAMN41021638,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00133.HFSS_m84046_230621_234848_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2031393,48277281549,48.28,23765,131,66274,21210,23986,27519,20553,23142,26421,0.520236,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00140,2,bam,m84081_230628_194051_s3.hifi_reads.bc1018.bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m84081_230628_194051_s3.hifi_reads.bc1018.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3_TopUp,9.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1456225,29738949475,29.74,20421,307,58382,18360,20178,22789,18021,19687,21981,0.599508,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00140,2,bam,m84081_230628_201157_s4.hifi_reads.bc1018.bam,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m84081_230628_201157_s4.hifi_reads.bc1018.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3_TopUp,10.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00140_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1538629,31578187956,31.58,20523,216,64079,18409,20255,22952,18060,19748,22092,0.589587,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00146,2,bam,m84081_230616_182824_s3.hifi_reads.bc2013.bam,s3://human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_HiFi/m84081_230616_182824_s3.hifi_reads.bc2013.bam,unaligned reads,WUSTL_HPRC_HiFi_Year4,36.5,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29396881,PRJNA701308,SAMN41021634,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG00146_lib1_m84081_230616_182824_s3_m84081_230616_182824_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,5556039,113249664653,113.25,20383,104,60682,18565,20268,22546,18255,19863,21947,0.533115,TRUE,,TRUE,FALSE,2.7.1,2.0701
